,run,agentID,suspect,victim,thief,DNAatCS,locCS,statement,experiment_name,runs
7,46,7,0,0,0,1,1,1,thief,200
8,46,8,0,0,0,0,1,1,thief,200
9,46,9,0,0,0,0,0,0,thief,200
0,47,0,1,0,1,1,0,0,thief,200
1,47,1,0,0,0,1,0,0,thief,200
2,47,2,0,0,0,1,0,0,thief,200
3,47,3,0,0,0,1,0,0,thief,200
4,47,4,0,0,0,1,0,0,thief,200
5,47,5,0,0,0,0,0,0,thief,200
6,47,6,0,0,0,1,0,0,thief,200
7,47,7,0,0,0,1,0,0,thief,200
8,47,8,0,0,0,0,0,0,thief,200
9,47,9,0,0,0,1,0,0,thief,200
0,48,0,1,0,1,1,1,1,thief,200
1,48,1,0,0,0,0,1,1,thief,200
2,48,2,0,0,0,0,1,1,thief,200
3,48,3,0,0,0,0,0,0,thief,200
4,48,4,0,0,0,0,0,0,thief,200
5,48,5,0,1,0,0,1,1,thief,200
6,48,6,0,0,0,0,0,0,thief,200
7,48,7,0,0,0,0,0,0,thief,200
8,48,8,0,0,0,0,0,0,thief,200
9,48,9,0,0,0,0,0,0,thief,200
0,49,0,1,0,1,1,0,0,thief,200
1,49,1,0,0,0,0,0,0,thief,200
2,49,2,0,0,0,0,0,0,thief,200
3,49,3,0,0,0,1,0,0,thief,200
4,49,4,0,0,0,0,0,0,thief,200
5,49,5,0,0,0,0,0,0,thief,200
6,49,6,0,0,0,0,0,0,thief,200
7,49,7,0,0,0,0,0,0,thief,200
8,49,8,0,0,0,1,0,0,thief,200
9,49,9,0,0,0,1,0,0,thief,200
0,50,0,1,0,1,1,1,1,thief,200
1,50,1,0,0,0,0,0,0,thief,200
2,50,2,0,0,0,0,0,0,thief,200
3,50,3,0,0,0,0,0,0,thief,200
4,50,4,0,0,0,0,0,0,thief,200
5,50,5,0,0,0,0,1,1,thief,200
6,50,6,0,0,0,0,0,0,thief,200
7,50,7,0,0,0,0,1,1,thief,200
8,50,8,0,0,0,1,0,0,thief,200
9,50,9,0,1,0,0,1,1,thief,200
0,51,0,1,0,1,1,1,1,thief,200
1,51,1,0,1,0,1,1,1,thief,200
2,51,2,0,0,0,1,0,0,thief,200
3,51,3,0,0,0,1,0,0,thief,200
